"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"339",3.53732238457633e-174,2.04344916473097,0.533,0.151,1.29469536597878e-169,"6","MRVI1"
"340",2.48941736152189e-78,2.03536590536008,0.522,0.262,9.11151648490626e-74,"6","CCDC102B"
"341",4.76963697233838e-124,2.03439383126553,0.408,0.116,1.74573482824557e-119,"6","PDLIM3"
"342",3.70929517619476e-120,2.0246896665465,0.483,0.17,1.35763912743904e-115,"6","FBLIM1"
"343",2.91417501116571e-99,1.99572722401903,0.64,0.344,1.06661719583676e-94,"6","ACTA2"
"344",1.23114080906327e-86,1.99414030933268,0.672,0.395,4.50609847525249e-82,"6","UACA"
"345",9.081991480968e-120,1.97844155195747,0.397,0.114,3.3240997019491e-115,"6","FAT1"
"346",1.63548427919136e-130,1.95037923811962,0.525,0.191,5.98603601026828e-126,"6","PRSS23"
"347",1.63283262040031e-74,1.90849037915016,0.258,0.073,5.97633067392716e-70,"6","ARHGAP44"
"348",2.25538260448126e-74,1.90178951229349,0.258,0.072,8.25492587066185e-70,"6","PLEKHG2"
"349",3.6170521050287e-131,1.89805288985846,0.682,0.353,1.32387724096155e-126,"6","COL4A1"
"350",7.83144048542521e-71,1.893889570868,0.276,0.085,2.86638553207048e-66,"6","NFASC"
"351",0,6.85530553428498,0.869,0.039,0,"7","PKHD1L1"
"352",0,6.53670039798377,0.455,0.009,0,"7","PROX1"
"353",0,6.47878680474792,0.431,0.021,0,"7","AL357507.1"
"354",1.50243947048212e-266,5.87819507300694,0.342,0.026,5.49907870591162e-262,"7","CCL21"
"355",0,5.65608449001602,0.345,0.014,0,"7","DLGAP2"
"356",0,5.569864038427,0.296,0.011,0,"7","KLHL4"
"357",0,5.38210826736574,0.459,0.02,0,"7","PARD6G"
"358",0,5.37462193306318,0.307,0.011,0,"7","SCNN1B"
"359",0,5.14225042507511,0.497,0.033,0,"7","SEMA3A"
"360",0,5.10437086823231,0.715,0.081,0,"7","MMRN1"
"361",4.9628423647854e-297,4.93022099348128,0.353,0.024,1.8164499339351e-292,"7","FLT4"
"362",0,4.90916102154124,0.622,0.07,0,"7","SLC22A23"
"363",0,4.85150427536548,0.575,0.038,0,"7","LINC02147"
"364",0,4.6658992438724,0.569,0.053,0,"7","STK32B"
"365",0,4.53745167893857,0.59,0.049,0,"7","RELN"
"366",0,4.36708195298975,0.586,0.062,0,"7","STON2"
"367",6.65165560127323e-230,4.31259712104798,0.353,0.033,2.43457246662202e-225,"7","NR2F1"
"368",1.5191279446852e-221,4.15147516711389,0.351,0.035,5.56016019034228e-217,"7","SEMA3D"
"369",2.46538790110047e-214,4.0693638869904,0.37,0.041,9.02356625681782e-210,"7","FAM189A2"
"370",0,4.06768186963442,0.579,0.068,0,"7","GPM6A"
"371",3.20916838423539e-192,4.02870527195451,0.254,0.019,1.17458772031399e-187,"7","SV2B"
"372",5.83933543855193e-204,3.89608863337425,0.425,0.059,2.13725516386439e-199,"7","SRGAP3"
"373",0,3.88988570429026,0.719,0.117,0,"7","CD36"
"374",1.86537738116087e-242,3.8366857720668,0.592,0.106,6.8274677527869e-238,"7","TSPAN5"
